region	chr	midPos	Nsites
(448,1094)(145346,146007)(100000,150000)	JASDQU010100691.1	125000	648	0.322718
(1095,1796)(153419,154182)(150000,200000)	JASDQU010100691.1	175000	703	0.001618
(61,566)(270435,270944)(250000,300000)	JASDQU010100692.1	275000	507	0.124524
(55,929)(227699,243350)(200000,250000)	JASDQU010100697.1	225000	876	0.017513
(930,2163)(266364,267627)(250000,300000)	JASDQU010100697.1	275000	1235	0.576229
(2164,2783)(324911,325544)(300000,350000)	JASDQU010100697.1	325000	621	0.309273
(386,1135)(131926,143065)(100000,150000)	JASDQU010100709.1	125000	751	0.017618
(1136,1264)(182176,182305)(150000,200000)	JASDQU010100709.1	175000	130	0.471379
(133,322)(191582,191792)(150000,200000)	JASDQU010100711.1	175000	191	0.352686
(323,530)(299790,299999)(250000,300000)	JASDQU010100711.1	275000	209	0.021864
(531,604)(300000,300100)(300000,350000)	JASDQU010100711.1	325000	75	0.029563
(605,1432)(469588,470472)(450000,500000)	JASDQU010100711.1	475000	829	0.538634
(1433,1821)(551953,552490)(550000,600000)	JASDQU010100711.1	575000	390	0.034175
(1822,3529)(719753,724045)(700000,750000)	JASDQU010100711.1	725000	1709	-0.006912
(111,218)(744683,744807)(700000,750000)	JASDQU010100714.1	725000	109	0.179529
(219,906)(930010,930713)(900000,950000)	JASDQU010100714.1	925000	689	0.540911
(907,2724)(1022328,1025536)(1000000,1050000)	JASDQU010100714.1	1025000	1819	0.453642
(1425,2777)(76825,98690)(50000,100000)	JASDQU010100715.1	75000	1354	0.329905
(2778,2852)(505106,505181)(500000,550000)	JASDQU010100715.1	525000	76	0.021865
(1258,1424)(189630,189936)(150000,200000)	JASDQU010100717.1	175000	168	0.060994
(60,89)(583720,583792)(550000,600000)	JASDQU010100719.1	575000	31	0.041458
(21,516)(123824,124398)(100000,150000)	JASDQU010100728.1	125000	497	0.126451
(517,620)(301387,301755)(300000,350000)	JASDQU010100728.1	325000	105	0.062308
(18,245)(115169,115414)(100000,150000)	JASDQU010100733.1	125000	229	0.084535
(246,1065)(440272,444039)(400000,450000)	JASDQU010100733.1	425000	821	0.116070
(1792,1823)(200765,200819)(200000,250000)	JASDQU010100740.1	225000	33	0.043798
(499,1955)(439585,441459)(400000,450000)	JASDQU010100744.1	425000	1458	0.291118
(339,889)(291813,292370)(250000,300000)	JASDQU010100746.1	275000	552	0.004820
(890,1693)(443543,444535)(400000,450000)	JASDQU010100746.1	425000	805	0.255102
(137,947)(105915,108130)(100000,150000)	JASDQU010100756.1	125000	812	0.607454
(298,873)(351536,391960)(350000,400000)	JASDQU010100757.1	375000	577	0.057516
(271,678)(249478,249922)(200000,250000)	JASDQU010100758.1	225000	409	0.189556
(679,992)(469651,469970)(450000,500000)	JASDQU010100758.1	475000	315	0.092735
(993,1800)(522029,522841)(500000,550000)	JASDQU010100758.1	525000	809	0.016806
(24,158)(177529,177832)(150000,200000)	JASDQU010100767.1	175000	136	0.062928
(1846,2484)(146519,147185)(100000,150000)	JASDQU010100774.1	125000	640	0.181180
(618,1321)(142262,143131)(100000,150000)	JASDQU010100779.1	125000	705	0.172087
(2121,2938)(163402,164250)(150000,200000)	JASDQU010100785.1	175000	819	0.100514
(2939,2955)(208847,208866)(200000,250000)	JASDQU010100785.1	225000	18	0.072481
(2956,3022)(315420,315496)(300000,350000)	JASDQU010100785.1	325000	68	0.065789
(3023,3342)(412041,412386)(400000,450000)	JASDQU010100785.1	425000	321	0.386561
(3343,3579)(522009,522765)(500000,550000)	JASDQU010100785.1	525000	238	0.056369
(372,439)(379775,379871)(350000,400000)	JASDQU010100788.1	375000	69	0.020768
(440,998)(438724,439297)(400000,450000)	JASDQU010100788.1	425000	560	0.073615
(999,1744)(484187,484954)(450000,500000)	JASDQU010100788.1	475000	747	0.080667
(1745,2032)(509712,510072)(500000,550000)	JASDQU010100788.1	525000	289	0.044147
(2033,2273)(558780,559073)(550000,600000)	JASDQU010100788.1	575000	242	0.037410
(1050,1545)(164104,183963)(150000,200000)	JASDQU010100789.1	175000	497	0.044582
(642,851)(495786,496003)(450000,500000)	JASDQU010100800.1	475000	211	0.066814
(239,246)(139414,139423)(100000,150000)	JASDQU010100801.1	125000	9	0.055979
(247,401)(206430,206584)(200000,250000)	JASDQU010100801.1	225000	156	0.034231
(156,333)(287631,287833)(250000,300000)	JASDQU010100815.1	275000	179	0.221485
(167,413)(205417,219066)(200000,250000)	JASDQU010100819.1	225000	248	0.058546
(414,2065)(256244,283260)(250000,300000)	JASDQU010100819.1	275000	1653	0.055313
(2066,2398)(322726,339153)(300000,350000)	JASDQU010100819.1	325000	334	0.030412
(1377,3289)(261487,264176)(250000,300000)	JASDQU010100822.1	275000	1914	0.219801
(332,450)(887533,887654)(850000,900000)	JASDQU010100823.1	875000	120	0.063176
(451,852)(928309,928733)(900000,950000)	JASDQU010100823.1	925000	403	0.036895
(216,451)(114775,115025)(100000,150000)	JASDQU010100826.1	125000	237	0.142745
(181,1621)(353358,395222)(350000,400000)	JASDQU010100827.1	375000	1442	0.758477
(1622,1640)(468420,468464)(450000,500000)	JASDQU010100827.1	475000	20	0.036746
(557,1178)(275339,275991)(250000,300000)	JASDQU010100828.1	275000	623	0.116513
(19,783)(217302,247190)(200000,250000)	JASDQU010100829.1	225000	766	0.272201
(784,2109)(276500,277902)(250000,300000)	JASDQU010100829.1	275000	1327	0.226714
(2542,5207)(172609,186816)(150000,200000)	JASDQU010100831.1	175000	2667	0.380474
(3498,4268)(136298,137091)(100000,150000)	JASDQU010100833.1	125000	772	0.283518
(4269,4351)(299892,299992)(250000,300000)	JASDQU010100833.1	275000	84	0.042643
(4352,4548)(458445,458784)(450000,500000)	JASDQU010100833.1	475000	198	0.040472
(50,948)(156053,156965)(150000,200000)	JASDQU010100834.1	175000	900	0.262681
(344,363)(159153,159175)(150000,200000)	JASDQU010100842.1	175000	21	0.047348
(364,3965)(295921,299613)(250000,300000)	JASDQU010100842.1	275000	3603	0.405658
(3966,5312)(302075,304481)(300000,350000)	JASDQU010100842.1	325000	1348	0.500322
(5313,5462)(373350,373544)(350000,400000)	JASDQU010100842.1	375000	151	-0.002524
(359,1193)(301207,302099)(300000,350000)	JASDQU010100846.1	325000	836	0.009632
(1194,1294)(464128,464232)(450000,500000)	JASDQU010100846.1	475000	102	0.054368
(172,1632)(108725,137432)(100000,150000)	JASDQU010100857.1	125000	1462	0.416169
(125,602)(323924,324411)(300000,350000)	JASDQU010100858.1	325000	479	0.205681
(53,77)(189219,189287)(150000,200000)	JASDQU010100863.1	175000	26	0.038340
(150,3486)(206652,233001)(200000,250000)	JASDQU010100870.1	225000	3338	0.294027
(3487,4479)(514446,548001)(500000,550000)	JASDQU010100870.1	525000	994	0.037409
(4480,6225)(662790,689911)(650000,700000)	JASDQU010100870.1	675000	1747	0.099823
(1958,1994)(349963,349999)(300000,350000)	JASDQU010100873.1	325000	38	0.029082
(1995,3842)(350000,363920)(350000,400000)	JASDQU010100873.1	375000	1849	0.291756
(211,281)(140070,140165)(100000,150000)	JASDQU010100875.1	125000	72	0.039516
(282,2833)(175434,178534)(150000,200000)	JASDQU010100875.1	175000	2553	0.109587
(2838,5106)(265732,268042)(250000,300000)	JASDQU010100877.1	275000	2270	0.246002
(34,97)(50000,50100)(50000,100000)	JASDQU010100888.1	75000	65	0.029121
(98,611)(232802,233430)(200000,250000)	JASDQU010100888.1	225000	515	0.075059
(1685,1751)(148480,148574)(100000,150000)	JASDQU010100891.1	125000	68	0.040956
(470,724)(154838,155204)(150000,200000)	JASDQU010100892.1	175000	256	0.018594
(181,3295)(221496,225352)(200000,250000)	JASDQU010100903.1	225000	3116	0.347119
(3296,6614)(381937,399891)(350000,400000)	JASDQU010100903.1	375000	3320	0.120675
(748,1143)(270388,270801)(250000,300000)	JASDQU010100907.1	275000	397	0.109783
(995,2291)(122784,124150)(100000,150000)	JASDQU010100909.1	125000	1298	0.197530
(25,914)(82584,83561)(50000,100000)	JASDQU010100916.1	75000	891	0.291012
(915,2109)(109721,131641)(100000,150000)	JASDQU010100916.1	125000	1196	0.020448
(126,358)(91538,91866)(50000,100000)	JASDQU010100917.1	75000	234	0.058299
(359,605)(153554,153811)(150000,200000)	JASDQU010100917.1	175000	248	0.127091
(606,1083)(534052,534529)(500000,550000)	JASDQU010100917.1	525000	479	0.010325
(1084,1570)(646979,647467)(600000,650000)	JASDQU010100917.1	625000	488	0.422100
(1571,3223)(664746,666400)(650000,700000)	JASDQU010100917.1	675000	1654	0.070687
(1340,1763)(59638,60062)(50000,100000)	JASDQU010100919.1	75000	425	0.164924
(100,4345)(104000,112096)(100000,150000)	JASDQU010100922.1	125000	4247	0.543621
(4346,4751)(320227,320744)(300000,350000)	JASDQU010100922.1	325000	407	0.249036
(4752,9734)(374394,379382)(350000,400000)	JASDQU010100922.1	375000	4984	0.148465
(112,231)(531064,531184)(500000,550000)	JASDQU010100935.1	525000	121	0.016729
(775,6458)(253968,273540)(250000,300000)	JASDQU010100939.1	275000	5685	0.452126
(285,410)(211810,211938)(200000,250000)	JASDQU010100940.1	225000	127	0.022713
(566,1358)(121727,122526)(100000,150000)	JASDQU010100941.1	125000	794	0.540558
(363,412)(565634,565704)(550000,600000)	JASDQU010100944.1	575000	51	-0.016858
(413,426)(703916,703975)(700000,750000)	JASDQU010100944.1	725000	15	0.196750
(427,428)(799693,799694)(750000,800000)	JASDQU010100944.1	775000	3	0.044099
(429,752)(834222,844096)(800000,850000)	JASDQU010100944.1	825000	325	0.016956
(753,1075)(954490,954841)(950000,1000000)	JASDQU010100944.1	975000	324	0.227599
(1076,1327)(1062986,1065820)(1050000,1100000)	JASDQU010100944.1	1075000	253	0.044008
(536,757)(180813,181282)(150000,200000)	JASDQU010100948.1	175000	223	0.041333
(758,1006)(258093,258399)(250000,300000)	JASDQU010100948.1	275000	250	0.061677
(1007,1029)(306118,306146)(300000,350000)	JASDQU010100948.1	325000	24	0.043709
(1030,1032)(688124,688128)(650000,700000)	JASDQU010100948.1	675000	4	0.034241
(126,1189)(196196,197750)(150000,200000)	JASDQU010100952.1	175000	1065	0.190145
(360,362)(136922,136924)(100000,150000)	JASDQU010100953.1	125000	4	0.036785
(363,535)(188166,195465)(150000,200000)	JASDQU010100953.1	175000	174	0.034758
(536,772)(223216,223460)(200000,250000)	JASDQU010100953.1	225000	238	0.021651
(328,573)(178578,178857)(150000,200000)	JASDQU010100954.1	175000	247	0.012913
(1302,1744)(107313,143591)(100000,150000)	JASDQU010100955.1	125000	444	0.138369
(1745,1855)(159510,159653)(150000,200000)	JASDQU010100955.1	175000	112	0.050092
(1856,2886)(251188,272938)(250000,300000)	JASDQU010100955.1	275000	1032	0.102900
(239,259)(183131,183228)(150000,200000)	JASDQU010100961.1	175000	22	0.062490
(260,681)(215695,216118)(200000,250000)	JASDQU010100961.1	225000	423	0.024033
(682,828)(257223,257373)(250000,300000)	JASDQU010100961.1	275000	148	-0.020398
(829,1529)(370003,397168)(350000,400000)	JASDQU010100961.1	375000	702	0.407974
(26,1159)(151177,192651)(150000,200000)	JASDQU010100965.1	175000	1135	0.575661
(1160,1984)(293278,294126)(250000,300000)	JASDQU010100965.1	275000	826	0.352965
(1985,2070)(372696,372907)(350000,400000)	JASDQU010100965.1	375000	87	0.032117
(762,1319)(292163,297251)(250000,300000)	JASDQU010100968.1	275000	559	0.153211
(830,2298)(263388,264876)(250000,300000)	JASDQU010100972.1	275000	1470	0.215363
(554,649)(501706,501804)(500000,550000)	JASDQU010100976.1	525000	97	0.317832
(636,3779)(311328,317388)(300000,350000)	JASDQU010100981.1	325000	3145	0.380465
(540,819)(130907,131299)(100000,150000)	JASDQU010100982.1	125000	281	0.226812
(856,2836)(56508,78927)(50000,100000)	JASDQU010100985.1	75000	1982	0.365322
(2837,4133)(170995,198000)(150000,200000)	JASDQU010100985.1	175000	1298	0.224339
(127,1856)(275719,279540)(250000,300000)	JASDQU010100991.1	275000	1731	0.333396
(456,461)(357292,357297)(350000,400000)	JASDQU010101000.1	375000	7	0.037702
(138,441)(223284,223601)(200000,250000)	JASDQU010101002.1	225000	305	0.021153
(139,1101)(196262,197242)(150000,200000)	JASDQU010101005.1	175000	964	0.332571
(1102,1213)(357302,357440)(350000,400000)	JASDQU010101005.1	375000	113	0.035420
(1214,1833)(469059,469687)(450000,500000)	JASDQU010101005.1	475000	621	0.655299
(1834,2739)(557038,558253)(550000,600000)	JASDQU010101005.1	575000	907	0.588974
(148,907)(407624,408480)(400000,450000)	JASDQU010101016.1	425000	761	0.308171
(908,2119)(473520,484471)(450000,500000)	JASDQU010101016.1	475000	1213	0.045665
(2120,2448)(650447,650785)(650000,700000)	JASDQU010101016.1	675000	330	0.019377
(538,1700)(321737,323776)(300000,350000)	JASDQU010101017.1	325000	1164	0.200362
(1312,1516)(378769,378983)(350000,400000)	JASDQU010101028.1	375000	206	0.014506
(182,207)(218096,218128)(200000,250000)	JASDQU010101029.1	225000	27	0.078770
(208,785)(287287,287903)(250000,300000)	JASDQU010101029.1	275000	579	0.442437
(622,863)(116601,135075)(100000,150000)	JASDQU010101034.1	125000	243	0.205769
(864,1229)(207761,208134)(200000,250000)	JASDQU010101034.1	225000	367	0.082504
(1230,1231)(390174,390175)(350000,400000)	JASDQU010101034.1	375000	3	0.032419
(1232,1310)(506207,506290)(500000,550000)	JASDQU010101034.1	525000	80	0.023896
(378,699)(282803,283184)(250000,300000)	JASDQU010101035.1	275000	323	0.038411
(700,1721)(356528,373366)(350000,400000)	JASDQU010101035.1	375000	1023	0.092005
(247,428)(122886,123077)(100000,150000)	JASDQU010101037.1	125000	183	0.055630
(134,799)(103889,104555)(100000,150000)	JASDQU010101040.1	125000	667	0.004497
(800,2338)(243648,249999)(200000,250000)	JASDQU010101040.1	225000	1540	0.109675
(2339,2997)(250000,250662)(250000,300000)	JASDQU010101040.1	275000	660	0.143020
(411,478)(189373,189445)(150000,200000)	JASDQU010101042.1	175000	69	0.278097
(479,580)(213880,214193)(200000,250000)	JASDQU010101042.1	225000	103	0.406205
(3077,3445)(201733,202118)(200000,250000)	JASDQU010101043.1	225000	370	0.134590
(284,1117)(622615,624840)(600000,650000)	JASDQU010101053.1	625000	835	0.409460
(54,167)(53208,99893)(50000,100000)	JASDQU010101055.1	75000	115	0.080317
(168,711)(113171,113740)(100000,150000)	JASDQU010101055.1	125000	545	0.666386
(712,756)(578447,578553)(550000,600000)	JASDQU010101055.1	575000	46	0.001952
(2308,2367)(243433,243502)(200000,250000)	JASDQU010101056.1	225000	61	0.032002
(70,4228)(108781,140315)(100000,150000)	JASDQU010101060.1	125000	4160	0.348005
(4229,4495)(201669,201940)(200000,250000)	JASDQU010101060.1	225000	268	0.007426
(1568,2177)(412798,413430)(400000,450000)	JASDQU010101061.1	425000	611	0.444820
(363,382)(103678,103785)(100000,150000)	JASDQU010101063.1	125000	21	0.022102
(202,2924)(50000,85569)(50000,100000)	JASDQU010101066.1	75000	2724	0.689280
(405,405)(187255,187255)(150000,200000)	JASDQU010101070.1	175000	2	0.039902
(1796,2007)(393328,393551)(350000,400000)	JASDQU010101073.1	375000	213	0.042263
(2008,2570)(437246,437814)(400000,450000)	JASDQU010101073.1	425000	564	0.005399
(3971,4247)(217196,217503)(200000,250000)	JASDQU010101076.1	225000	278	0.015616
(457,2281)(384882,387973)(350000,400000)	JASDQU010101080.1	375000	1826	0.311033
(1501,1547)(345333,345387)(300000,350000)	JASDQU010101081.1	325000	48	0.043934
(1548,2063)(355234,366583)(350000,400000)	JASDQU010101081.1	375000	517	0.007481
(2064,2335)(418722,428773)(400000,450000)	JASDQU010101081.1	425000	273	0.035925
(2336,3141)(455652,462850)(450000,500000)	JASDQU010101081.1	475000	807	0.014065
(3142,3691)(502931,514157)(500000,550000)	JASDQU010101081.1	525000	551	0.021578
(194,202)(145261,145270)(100000,150000)	JASDQU010101084.1	125000	10	0.039025
(203,897)(155617,181191)(150000,200000)	JASDQU010101084.1	175000	696	0.226038
(898,1361)(287616,288190)(250000,300000)	JASDQU010101084.1	275000	465	0.034829
(1362,3130)(546180,549999)(500000,550000)	JASDQU010101084.1	525000	1770	0.545435
(112,730)(401443,402126)(400000,450000)	JASDQU010101099.1	425000	620	0.015439
(731,1519)(548086,548881)(500000,550000)	JASDQU010101099.1	525000	790	0.081505
(1093,1135)(422053,422096)(400000,450000)	JASDQU010101103.1	425000	44	0.009980
(1136,1367)(515620,516130)(500000,550000)	JASDQU010101103.1	525000	233	0.017215
(1368,2164)(800810,837724)(800000,850000)	JASDQU010101103.1	825000	798	0.013690
(2165,2536)(1241158,1241609)(1200000,1250000)	JASDQU010101103.1	1225000	373	0.000036
(4147,4741)(405707,423489)(400000,450000)	JASDQU010101105.1	425000	596	0.018207
(6,950)(96728,97676)(50000,100000)	JASDQU010101106.1	75000	946	0.329795
(6,472)(409240,409765)(400000,450000)	JASDQU010101110.1	425000	468	0.154560
(473,618)(515112,515259)(500000,550000)	JASDQU010101110.1	525000	147	0.016779
(416,1053)(88430,89186)(50000,100000)	JASDQU010101116.1	75000	639	0.014589
(1054,1639)(118921,119667)(100000,150000)	JASDQU010101116.1	125000	587	0.018338
(632,880)(55542,55814)(50000,100000)	JASDQU010101118.1	75000	250	0.186571
(170,1504)(252238,273723)(250000,300000)	JASDQU010101121.1	275000	1336	0.012483
(1505,1611)(410941,411235)(400000,450000)	JASDQU010101121.1	425000	108	0.035768
(5000,5320)(371221,374246)(350000,400000)	JASDQU010101138.1	375000	322	0.027379
(5321,5667)(432055,432615)(400000,450000)	JASDQU010101138.1	425000	348	-0.008302
(5668,6130)(662781,699999)(650000,700000)	JASDQU010101138.1	675000	464	0.037645
(6131,6133)(700000,700002)(700000,750000)	JASDQU010101138.1	725000	4	0.033452
(36,659)(679042,679675)(650000,700000)	JASDQU010101140.1	675000	625	0.169266
(156,1588)(290840,292305)(250000,300000)	JASDQU010101142.1	275000	1434	0.102875
(404,450)(291752,291887)(250000,300000)	JASDQU010101145.1	275000	48	0.083954
(451,2240)(390585,392629)(350000,400000)	JASDQU010101145.1	375000	1791	0.334330
(386,851)(155353,155947)(150000,200000)	JASDQU010101151.1	175000	467	0.016381
(852,969)(217562,217692)(200000,250000)	JASDQU010101151.1	225000	119	0.016133
(970,1457)(344199,344854)(300000,350000)	JASDQU010101151.1	325000	489	0.015423
(1458,3660)(353515,383338)(350000,400000)	JASDQU010101151.1	375000	2204	0.056093
(3661,3891)(449057,449297)(400000,450000)	JASDQU010101151.1	425000	232	0.032241
(1107,4989)(226307,241564)(200000,250000)	JASDQU010101163.1	225000	3884	0.465634
(4990,5672)(260794,291701)(250000,300000)	JASDQU010101163.1	275000	684	0.117063
(5673,6352)(351339,352047)(350000,400000)	JASDQU010101163.1	375000	681	0.167663
(171,594)(148103,148586)(100000,150000)	JASDQU010101179.1	125000	425	0.320115
(956,2198)(130485,132912)(100000,150000)	JASDQU010101180.1	125000	1244	0.023539
(2256,2540)(54095,55946)(50000,100000)	JASDQU010101181.1	75000	286	0.085665
(146,727)(290916,291511)(250000,300000)	JASDQU010101193.1	275000	583	0.374436
(66,736)(185171,185883)(150000,200000)	JASDQU010101194.1	175000	672	0.252733
(262,3765)(50000,70640)(50000,100000)	JASDQU010101197.1	75000	3505	0.419637
(361,565)(600652,600877)(600000,650000)	JASDQU010101207.1	625000	206	0.005949
(3768,4261)(182068,194247)(150000,200000)	JASDQU010101220.1	175000	495	0.019169
(444,2687)(87359,94149)(50000,100000)	JASDQU010101222.1	75000	2245	0.206668
(111,415)(121379,121814)(100000,150000)	JASDQU010101225.1	125000	306	0.027389
(416,1102)(303163,327946)(300000,350000)	JASDQU010101225.1	325000	688	0.089519
(346,975)(347925,348573)(300000,350000)	JASDQU010101228.1	325000	631	0.155235
(278,856)(58550,59198)(50000,100000)	JASDQU010101229.1	75000	580	0.554508
(31,348)(266906,267225)(250000,300000)	JASDQU010101235.1	275000	319	0.299790
(20,861)(113766,148986)(100000,150000)	JASDQU010101241.1	125000	843	0.052984
(1726,1776)(131509,131575)(100000,150000)	JASDQU010101249.1	125000	52	0.133781
(1777,3083)(212044,213470)(200000,250000)	JASDQU010101249.1	225000	1308	0.081051
(186,2286)(154326,163240)(150000,200000)	JASDQU010101251.1	175000	2102	0.320896
(131,373)(214532,214775)(200000,250000)	JASDQU010101253.1	225000	244	0.011223
(374,4528)(316244,341550)(300000,350000)	JASDQU010101253.1	325000	4156	0.109100
(4529,4679)(368397,368550)(350000,400000)	JASDQU010101253.1	375000	152	0.000735
(236,1164)(312452,313400)(300000,350000)	JASDQU010101255.1	325000	930	0.100385
(15,257)(545508,545750)(500000,550000)	JASDQU010101260.1	525000	244	0.029356
(833,878)(103380,103449)(100000,150000)	JASDQU010101262.1	125000	47	0.021117
(142,554)(90365,90792)(50000,100000)	JASDQU010101273.1	75000	414	0.138989
(236,1451)(109186,121697)(100000,150000)	JASDQU010101281.1	125000	1217	0.032630
(3423,3780)(311884,312289)(300000,350000)	JASDQU010101286.1	325000	359	0.162192
(1628,2238)(676568,677692)(650000,700000)	JASDQU010101314.1	675000	612	0.038651
(2239,2647)(726685,727108)(700000,750000)	JASDQU010101314.1	725000	410	0.021019
(2648,2943)(893370,894059)(850000,900000)	JASDQU010101314.1	875000	297	0.045034
(1247,1382)(737505,737642)(700000,750000)	JASDQU010101319.1	725000	137	0.070345
(861,1037)(63937,64113)(50000,100000)	JASDQU010101322.1	75000	178	0.056852
(1071,1119)(130170,130220)(100000,150000)	JASDQU010101338.1	125000	50	0.034097
(267,1041)(145316,147913)(100000,150000)	JASDQU010101339.1	125000	776	0.016950
(17,4117)(91658,97201)(50000,100000)	JASDQU010101348.1	75000	4102	0.234725
(128,1699)(61878,72216)(50000,100000)	JASDQU010101350.1	75000	1573	0.216886
(1700,3759)(146036,148351)(100000,150000)	JASDQU010101350.1	125000	2061	0.108956
(3760,3834)(237804,237900)(200000,250000)	JASDQU010101350.1	225000	76	-0.023897
(17,190)(350004,350189)(350000,400000)	JASDQU010101353.1	375000	175	0.024762
(1010,1548)(147507,148053)(100000,150000)	JASDQU010101355.1	125000	540	0.127621
(2,980)(370104,371327)(350000,400000)	JASDQU010101357.1	375000	980	0.043062
(73,121)(236487,236543)(200000,250000)	JASDQU010101360.1	225000	50	0.097187
(122,786)(348889,349558)(300000,350000)	JASDQU010101360.1	325000	666	0.093284
(775,924)(486644,486869)(450000,500000)	JASDQU010101361.1	475000	151	0.103786
(788,1235)(250000,277014)(250000,300000)	JASDQU010101367.1	275000	449	0.050687
(947,1118)(478459,478686)(450000,500000)	JASDQU010101368.1	475000	173	0.048250
(1418,3007)(575629,577264)(550000,600000)	JASDQU010101369.1	575000	1591	0.027662
(3008,3148)(809485,809692)(800000,850000)	JASDQU010101369.1	825000	142	0.054927
(899,1354)(279051,279724)(250000,300000)	JASDQU010101370.1	275000	457	0.020188
(1584,2310)(101557,102287)(100000,150000)	JASDQU010101376.1	125000	728	0.144255
(2311,2617)(161872,162837)(150000,200000)	JASDQU010101376.1	175000	308	0.052189
(2618,3535)(404436,432682)(400000,450000)	JASDQU010101376.1	425000	919	0.474639
(3536,4329)(459409,460218)(450000,500000)	JASDQU010101376.1	475000	795	0.333318
(169,1239)(122219,124310)(100000,150000)	JASDQU010101378.1	125000	1072	0.395799
(1240,2919)(167101,199555)(150000,200000)	JASDQU010101378.1	175000	1681	0.143922
(2920,3397)(201089,201569)(200000,250000)	JASDQU010101378.1	225000	479	0.012847
(600,618)(222915,222936)(200000,250000)	JASDQU010101379.1	225000	20	0.006706
(3,139)(367867,368013)(350000,400000)	JASDQU010101383.1	375000	138	0.056602
(140,1366)(529327,536847)(500000,550000)	JASDQU010101383.1	525000	1228	0.359759
(2945,3332)(109253,109746)(100000,150000)	JASDQU010101384.1	125000	389	0.353792
(3333,3564)(183894,184133)(150000,200000)	JASDQU010101384.1	175000	233	0.121521
(1052,1918)(165608,179267)(150000,200000)	JASDQU010101385.1	175000	868	0.050021
(1919,3409)(261517,286642)(250000,300000)	JASDQU010101385.1	275000	1492	0.018557
(592,1690)(428646,429784)(400000,450000)	JASDQU010101388.1	425000	1100	0.239239
(1691,3038)(462371,490962)(450000,500000)	JASDQU010101388.1	475000	1349	0.036522
(641,924)(199714,199999)(150000,200000)	JASDQU010101390.1	175000	285	0.189243
(721,1144)(63225,66296)(50000,100000)	JASDQU010101392.1	75000	425	0.005913
(688,1664)(339107,340091)(300000,350000)	JASDQU010101395.1	325000	978	0.363584
(533,612)(139386,139470)(100000,150000)	JASDQU010101404.1	125000	81	0.651439
(613,3257)(194985,197676)(150000,200000)	JASDQU010101404.1	175000	2646	0.471221
(3258,6741)(226512,247657)(200000,250000)	JASDQU010101404.1	225000	3485	0.061591
(6742,7027)(279136,279468)(250000,300000)	JASDQU010101404.1	275000	287	0.104529
(7028,8356)(311735,333620)(300000,350000)	JASDQU010101404.1	325000	1330	0.228527
(8357,9007)(520840,521512)(500000,550000)	JASDQU010101404.1	525000	652	0.354485
(9008,10186)(679700,681883)(650000,700000)	JASDQU010101404.1	675000	1180	0.436377
(371,501)(102785,102915)(100000,150000)	JASDQU010101413.1	125000	132	0.182829
(502,572)(160257,160565)(150000,200000)	JASDQU010101413.1	175000	72	0.075757
(1521,1937)(191701,192313)(150000,200000)	JASDQU010101419.1	175000	418	0.003231
(6439,6695)(94541,94803)(50000,100000)	JASDQU010101424.1	75000	258	0.244284
(670,995)(306237,306666)(300000,350000)	JASDQU010101436.1	325000	327	0.216199
(47,157)(243165,243282)(200000,250000)	JASDQU010101439.1	225000	112	0.218943
(1081,2505)(108988,111149)(100000,150000)	JASDQU010101440.1	125000	1426	0.256475
(2506,3108)(476500,477206)(450000,500000)	JASDQU010101440.1	475000	604	0.130433
(3109,4050)(560629,561572)(550000,600000)	JASDQU010101440.1	575000	943	0.207872
(4051,4722)(604048,649999)(600000,650000)	JASDQU010101440.1	625000	673	0.076409
(79,3950)(462705,469868)(450000,500000)	JASDQU010101446.1	475000	3873	0.234213
(2,199)(286030,286231)(250000,300000)	JASDQU010101447.1	275000	199	0.017227
(56,954)(140947,149999)(100000,150000)	JASDQU010101448.1	125000	900	0.523530
(955,1989)(150000,196337)(150000,200000)	JASDQU010101448.1	175000	1036	0.255294
(1990,2140)(207134,207292)(200000,250000)	JASDQU010101448.1	225000	152	0.462249
(2141,2261)(499752,499883)(450000,500000)	JASDQU010101448.1	475000	122	0.092064
(2262,5008)(557342,594444)(550000,600000)	JASDQU010101448.1	575000	2748	0.144720
(5009,6993)(618037,629535)(600000,650000)	JASDQU010101448.1	625000	1986	0.082665
(233,1123)(317642,318556)(300000,350000)	JASDQU010101449.1	325000	892	0.160489
(1124,1125)(353164,353165)(350000,400000)	JASDQU010101449.1	375000	3	0.042491
(354,2566)(51605,85007)(50000,100000)	JASDQU010101452.1	75000	2214	0.234974
(23,142)(101500,101758)(100000,150000)	JASDQU010101458.1	125000	121	0.007066
(143,2042)(205752,224675)(200000,250000)	JASDQU010101458.1	225000	1901	0.193382
(195,444)(65262,65678)(50000,100000)	JASDQU010101465.1	75000	251	0.018113
(34,37)(106412,106452)(100000,150000)	JASDQU010101471.1	125000	5	0.038890
(400,935)(107637,119625)(100000,150000)	JASDQU010101476.1	125000	537	0.027777
(936,1049)(172521,172638)(150000,200000)	JASDQU010101476.1	175000	115	0.111844
(1050,1215)(363274,365978)(350000,400000)	JASDQU010101476.1	375000	167	0.055196
(32,333)(298860,299191)(250000,300000)	JASDQU010101481.1	275000	303	0.019125
(334,395)(308386,308449)(300000,350000)	JASDQU010101481.1	325000	63	0.148895
(396,5909)(415598,446041)(400000,450000)	JASDQU010101481.1	425000	5515	0.189574
(83,115)(235059,235092)(200000,250000)	JASDQU010101484.1	225000	34	0.033862
